ShipmentID,order_id_FK,OrderDate,ShipDate,ShipMode,CustomerID,ProductID
93,93,31/1/2016,5/2/2016,Second Class,16315,10003177
94,94,31/1/2016,5/2/2016,Second Class,16315,10003799
95,95,31/1/2016,5/2/2016,Second Class,16315,10002852
96,96,6/11/2018,12/11/2018,Standard Class,19705,10004738
97,97,9/11/2018,11/11/2018,Second Class,18775,10000629
98,98,17/6/2018,20/6/2018,First Class,16345,10001721
99,99,6/9/2017,11/9/2017,Standard Class,13855,10000358
100,100,29/8/2017,2/9/2017,Standard Class,19465,10003256
101,101,29/8/2017,2/9/2017,Standard Class,19465,10001767
102,102,29/8/2017,2/9/2017,Standard Class,19465,10002609
103,103,1/12/2017,4/12/2017,Second Class,14470,10004040
104,104,13/11/2016,17/11/2016,Standard Class,16870,10001552
105,105,13/11/2016,17/11/2016,Standard Class,16870,10004006
106,106,13/11/2016,17/11/2016,Standard Class,16870,10002794
107,107,23/11/2018,28/11/2018,Standard Class,15250,10003499
108,108,23/11/2018,28/11/2018,Standard Class,15250,10002844
109,109,23/11/2018,28/11/2018,Standard Class,15250,10000390
110,110,15/10/2016,20/10/2016,Standard Class,19060,10000844
111,111,25/12/2018,30/12/2018,Standard Class,12805,10001934
112,112,3/11/2017,10/11/2017,Standard Class,12565,10000380
113,113,3/11/2017,10/11/2017,Standard Class,12565,10003981
114,114,25/8/2015,27/8/2015,Second Class,19960,10000621
115,115,25/8/2015,27/8/2015,Second Class,19960,10002600
116,116,25/8/2015,27/8/2015,Second Class,19960,10004965
117,117,25/8/2015,27/8/2015,Second Class,19960,10002504
118,118,2/3/2016,6/3/2016,Standard Class,13090,10001768
119,119,5/4/2016,10/4/2016,Standard Class,14650,10003650
120,120,12/6/2017,15/6/2017,First Class,20725,10002157
121,121,12/6/2017,15/6/2017,First Class,20725,10003910
122,122,12/6/2017,15/6/2017,First Class,20725,10000777
123,123,12/6/2017,15/6/2017,First Class,20725,10002500
124,124,12/6/2017,15/6/2017,First Class,20725,10003875
125,125,26/12/2015,28/12/2015,Second Class,10180,10004063
126,126,20/9/2015,25/9/2015,Standard Class,19165,10004534
127,127,5/11/2018,12/11/2018,Standard Class,21610,10003274
128,128,5/11/2018,12/11/2018,Standard Class,21610,10002974
129,129,6/11/2017,10/11/2017,Second Class,16975,10001146
130,130,6/11/2017,10/11/2017,Second Class,16975,10003773
131,131,2/2/2018,5/2/2018,First Class,13585,10002293
132,132,2/2/2018,5/2/2018,First Class,13585,10002377
133,133,2/2/2018,5/2/2018,First Class,13585,10002780
134,134,13/10/2017,19/10/2017,Standard Class,16885,10001804
135,135,13/10/2017,19/10/2017,Standard Class,16885,10001736
136,136,13/10/2017,19/10/2017,Standard Class,16885,10001149
137,137,13/10/2017,19/10/2017,Standard Class,16885,10002988
138,138,13/10/2017,19/10/2017,Standard Class,16885,10004781
139,139,13/10/2017,19/10/2017,Standard Class,16885,10001218
140,140,13/10/2017,19/10/2017,Standard Class,16885,10001706
141,141,5/9/2017,7/9/2017,Second Class,15895,10004848
142,142,18/9/2018,23/9/2018,Standard Class,19975,10000940
143,143,18/9/2018,23/9/2018,Standard Class,19975,10004030
144,144,18/9/2018,23/9/2018,Standard Class,19975,10004327
145,145,22/12/2018,27/12/2018,Standard Class,20080,10001058
146,146,7/9/2016,12/9/2016,Standard Class,14920,10003656
147,147,22/10/2015,28/10/2015,Standard Class,17680,10000521
148,148,5/12/2017,9/12/2017,Standard Class,16165,10000215
149,149,5/12/2017,9/12/2017,Standard Class,16165,10001448
150,150,5/12/2017,9/12/2017,Standard Class,16165,10000454
151,151,5/12/2017,9/12/2017,Standard Class,16165,10002735
152,152,13/3/2017,16/3/2017,First Class,21025,10000326
153,153,13/3/2017,16/3/2017,First Class,21025,10001254
154,154,31/5/2016,2/6/2016,First Class,20650,10001950
155,155,31/5/2016,2/6/2016,First Class,20650,10002254
156,156,31/5/2016,2/6/2016,First Class,20650,10001590
157,157,28/5/2016,3/6/2016,Standard Class,18490,10001547
158,158,1/3/2015,6/3/2015,Second Class,13060,10004063
159,159,20/11/2017,24/11/2017,Standard Class,18670,10002475
160,160,20/11/2017,24/11/2017,Standard Class,18670,10004536
161,161,11/5/2017,12/5/2017,First Class,21070,10002751
162,162,28/12/2016,31/12/2016,Second Class,13960,10003657
163,163,16/11/2017,20/11/2017,Standard Class,19900,10001990
164,164,7/11/2017,11/11/2017,Standard Class,17740,10004002
165,165,8/9/2015,12/9/2015,Standard Class,11140,10004441
166,166,8/9/2015,12/9/2015,Standard Class,11140,10000822
167,167,8/9/2015,12/9/2015,Standard Class,11140,10000991
168,168,8/9/2015,12/9/2015,Standard Class,11140,10004287
169,169,8/9/2015,12/9/2015,Standard Class,11140,10002656
170,170,8/9/2015,12/9/2015,Standard Class,11140,10002518
171,171,8/9/2015,12/9/2015,Standard Class,11140,10003931
172,172,5/8/2015,9/8/2015,Standard Class,12130,10000659
173,173,5/8/2015,9/8/2015,Standard Class,12130,10001144
174,174,5/8/2015,9/8/2015,Standard Class,12130,10003817
175,175,14/9/2015,19/9/2015,Standard Class,15400,10000891
176,176,14/9/2015,19/9/2015,Standard Class,15400,10003148
177,177,21/4/2018,25/4/2018,Second Class,20500,10002684
178,178,21/11/2016,23/11/2016,Second Class,15745,10004698
179,179,21/11/2016,23/11/2016,Second Class,15745,10002189
180,180,15/12/2016,19/12/2016,Standard Class,15640,10001940
181,181,5/12/2015,9/12/2015,Second Class,13150,10003455
182,182,5/12/2015,9/12/2015,Second Class,13150,10004659
183,183,19/11/2015,24/11/2015,Second Class,19675,10003273
184,184,19/11/2015,24/11/2015,Second Class,19675,10004896
185,185,19/11/2015,24/11/2015,Second Class,19675,10002345
186,186,28/11/2017,2/12/2017,Standard Class,19990,10001890
187,187,26/8/2015,30/8/2015,Standard Class,14290,10002323
188,188,16/7/2017,22/7/2017,Standard Class,10360,10001328
189,189,16/7/2017,22/7/2017,Standard Class,10360,10001950
190,190,12/10/2016,14/10/2016,First Class,17470,10002613
191,191,12/10/2016,14/10/2016,First Class,17470,10001552
192,192,12/10/2016,14/10/2016,First Class,17470,10000061
193,193,12/10/2016,14/10/2016,First Class,17470,10002545
194,194,12/10/2016,14/10/2016,First Class,17470,10003514
195,195,31/10/2016,6/11/2016,Standard Class,17515,10001509
196,196,21/3/2015,25/3/2015,Standard Class,12025,10004685
197,197,21/3/2015,25/3/2015,Standard Class,12025,10004027
198,198,6/11/2018,13/11/2018,Standard Class,21685,10001414
199,199,6/7/2018,13/7/2018,Standard Class,14365,10000343
200,200,6/7/2018,13/7/2018,Standard Class,14365,10002749
201,201,24/6/2018,29/6/2018,Standard Class,17305,10002666
202,202,3/8/2015,5/8/2015,First Class,11755,10004289
203,203,3/8/2015,5/8/2015,First Class,11755,10003622
204,204,17/12/2018,21/12/2018,Second Class,17140,10003217
205,205,3/6/2018,7/6/2018,Standard Class,14890,10002960
206,206,9/12/2018,14/12/2018,Standard Class,16810,10001918
207,207,1/12/2018,7/12/2018,Standard Class,15985,10000642
208,208,1/12/2018,7/12/2018,Standard Class,15985,10001700
209,209,1/12/2018,7/12/2018,Standard Class,15985,10003274
210,210,1/12/2018,7/12/2018,Standard Class,15985,10000134
211,211,1/12/2018,7/12/2018,Standard Class,15985,10001522
212,212,9/2/2016,13/2/2016,Second Class,17980,10001266
213,213,2/1/2016,9/1/2016,Standard Class,21775,10004544
214,214,2/1/2016,9/1/2016,Standard Class,21775,10004695
215,215,2/1/2016,9/1/2016,Standard Class,21775,10002844
216,216,2/1/2016,9/1/2016,Standard Class,21775,10000864
217,217,2/1/2016,9/1/2016,Standard Class,21775,10000109
218,218,28/10/2017,1/11/2017,Standard Class,15910,10001328
219,219,28/10/2017,1/11/2017,Standard Class,15910,10002563
220,220,24/12/2016,27/12/2016,First Class,15925,10000585
221,221,24/12/2016,27/12/2016,First Class,15925,10004000
222,222,24/12/2016,27/12/2016,First Class,15925,10002852
223,223,24/12/2016,27/12/2016,First Class,15925,10000087
224,224,24/12/2016,27/12/2016,First Class,15925,10001148
225,225,24/12/2016,27/12/2016,First Class,15925,10001958
226,226,9/8/2016,16/8/2016,Standard Class,13180,10001026
227,227,9/8/2016,16/8/2016,Standard Class,13180,10003748
228,228,9/8/2016,16/8/2016,Standard Class,13180,10002485
229,229,28/2/2016,4/3/2016,Standard Class,21670,10004860
230,230,28/2/2016,4/3/2016,Standard Class,21670,10004477
231,231,13/9/2015,17/9/2015,Standard Class,14035,10001679
232,232,7/4/2018,12/4/2018,Standard Class,12400,10001705
233,233,7/4/2018,12/4/2018,Standard Class,12400,10003473
234,234,7/4/2018,12/4/2018,Standard Class,12400,10001679
235,235,7/4/2018,12/4/2018,Standard Class,12400,10004017
236,236,7/4/2018,12/4/2018,Standard Class,12400,10003832
237,237,12/11/2018,16/11/2018,Standard Class,13120,10002479
238,238,4/6/2017,9/6/2017,Second Class,16645,10003349
239,239,4/6/2017,9/6/2017,Second Class,16645,10000576
240,240,4/6/2017,9/6/2017,Second Class,16645,10004351
241,241,4/6/2017,9/6/2017,Second Class,16645,10000011
242,242,4/6/2017,9/6/2017,Second Class,16645,10002607
243,243,4/6/2017,9/6/2017,Second Class,16645,10002505
244,244,4/6/2017,9/6/2017,Second Class,16645,10004685
245,245,1/6/2015,6/6/2015,Second Class,13480,10004063
246,246,1/6/2015,6/6/2015,Second Class,13480,10002276
247,247,1/6/2015,6/6/2015,Second Class,13480,10004082
248,248,1/6/2015,6/6/2015,Second Class,13480,10002945
249,249,1/6/2015,6/6/2015,Second Class,13480,10000061
250,250,10/12/2017,15/12/2017,Second Class,17155,10002965
251,251,11/9/2017,17/9/2017,Standard Class,16540,10004569
252,252,11/9/2017,17/9/2017,Standard Class,16540,10003832
253,253,10/12/2017,13/12/2017,First Class,13315,10001228
254,254,10/12/2017,13/12/2017,First Class,13315,10003296
255,255,28/11/2016,4/12/2016,Standard Class,12880,10002505
256,256,28/11/2016,4/12/2016,Standard Class,12880,10004804
257,257,28/11/2016,4/12/2016,Standard Class,12880,10001590
258,258,28/11/2016,4/12/2016,Standard Class,12880,10001580
259,259,1/12/2018,3/12/2018,Second Class,12670,10000290
260,260,1/12/2018,3/12/2018,Second Class,12670,10002790
261,261,1/12/2018,3/12/2018,Second Class,12670,10003460
262,262,8/6/2018,12/6/2018,Standard Class,13600,10002203
263,263,19/9/2015,21/9/2015,Second Class,20290,10000822
264,264,19/9/2015,21/9/2015,Second Class,20290,10003353
265,265,6/6/2017,13/6/2017,Standard Class,19825,10001433
266,266,10/11/2016,15/11/2016,Standard Class,10210,10004469
267,267,16/6/2018,20/6/2018,Standard Class,12535,10003602
268,268,22/1/2017,28/1/2017,Standard Class,18895,10003472
269,269,9/12/2018,13/12/2018,Standard Class,12310,10004180
270,270,9/12/2018,13/12/2018,Standard Class,12310,10004386
271,271,28/12/2018,2/1/2019,Second Class,16690,10003208
272,272,30/7/2016,31/7/2016,First Class,14920,10003628
273,273,30/7/2016,31/7/2016,First Class,14920,10003274
274,274,30/7/2016,31/7/2016,First Class,14920,10002557
275,275,16/9/2018,17/9/2018,First Class,10990,10002615
276,276,16/9/2018,17/9/2018,First Class,10990,10001427
277,277,13/10/2018,17/10/2018,Standard Class,10495,10000673
278,278,13/10/2018,17/10/2018,Standard Class,10495,10004470
279,279,13/10/2018,17/10/2018,Standard Class,10495,10000876
280,280,13/10/2018,17/10/2018,Standard Class,10495,10002043
281,281,26/9/2016,28/9/2016,Second Class,20725,10004967
282,282,26/9/2016,28/9/2016,Second Class,20725,10001760
283,283,2/11/2016,6/11/2016,Standard Class,15280,10002903
284,284,26/9/2016,2/10/2016,Standard Class,21520,10000474
285,285,26/9/2016,2/10/2016,Standard Class,21520,10001956
286,286,26/9/2016,2/10/2016,Standard Class,21520,10004100
287,287,18/12/2017,20/12/2017,Second Class,10195,10000778
288,288,18/12/2017,20/12/2017,Second Class,10195,10002684
289,289,18/12/2017,20/12/2017,Second Class,10195,10000646
290,290,20/11/2017,24/11/2017,Second Class,18565,10002983
291,291,20/11/2017,24/11/2017,Second Class,18565,10004689
292,292,20/11/2017,24/11/2017,Second Class,18565,10002001
293,293,20/11/2017,24/11/2017,Second Class,18565,10004709
294,294,26/12/2015,28/12/2015,First Class,16555,10004091
295,295,26/12/2015,28/12/2015,First Class,16555,10001891
296,296,26/12/2015,28/12/2015,First Class,16555,10002918
297,297,26/12/2015,28/12/2015,First Class,16555,10004593
298,298,26/12/2015,28/12/2015,First Class,16555,10004854
299,299,28/10/2017,3/11/2017,Standard Class,15895,10002105
300,300,28/10/2017,3/11/2017,Standard Class,15895,10002756
301,301,28/10/2017,3/11/2017,Standard Class,15895,10004243
302,302,28/10/2017,3/11/2017,Standard Class,15895,10001861
303,303,28/10/2017,3/11/2017,Standard Class,15895,10002706
304,304,19/11/2018,23/11/2018,Standard Class,15910,10002533
305,305,4/5/2016,9/5/2016,Second Class,10225,10002671
306,306,30/12/2015,4/1/2016,Standard Class,16600,10003651
307,307,1/6/2015,6/6/2015,Standard Class,12625,10001072
308,308,1/6/2015,6/6/2015,Standard Class,12625,10002135
309,309,15/4/2018,17/4/2018,First Class,20395,10002804
310,310,12/9/2017,14/9/2017,Second Class,11185,10001918
311,311,12/9/2017,14/9/2017,Second Class,11185,10004086
312,312,12/9/2017,14/9/2017,Second Class,11185,10001756
313,313,12/9/2017,14/9/2017,Second Class,11185,10000634
314,314,27/9/2015,3/10/2015,Standard Class,21205,10001588
315,315,9/8/2015,16/8/2015,Standard Class,10525,10002398
316,316,9/8/2015,16/8/2015,Standard Class,10525,10001937
317,317,28/12/2015,30/12/2015,First Class,20860,10003373
318,318,4/11/2015,9/11/2015,Standard Class,18445,10002602
319,319,4/11/2015,9/11/2015,Standard Class,18445,10002927
320,320,4/11/2015,9/11/2015,Standard Class,18445,10004093
321,321,4/11/2015,9/11/2015,Standard Class,18445,10000892
322,322,4/11/2015,9/11/2015,Standard Class,18445,10002974
323,323,19/9/2015,24/9/2015,Standard Class,14230,10000624
324,324,23/4/2017,27/4/2017,Standard Class,14620,10004593
325,325,23/4/2017,27/4/2017,Standard Class,14620,10001908
326,326,3/11/2018,5/11/2018,Second Class,13510,10001967
327,327,30/8/2017,1/9/2017,First Class,18850,10003645
328,328,30/8/2017,1/9/2017,First Class,18850,10000675
329,329,30/8/2017,1/9/2017,First Class,18850,10003312
330,330,30/8/2017,1/9/2017,First Class,18850,10001074
331,331,30/8/2017,1/9/2017,First Class,18850,10001524
332,332,25/4/2017,29/4/2017,Second Class,15850,10004614
333,333,25/4/2017,29/4/2017,Second Class,15850,10001153
334,334,25/4/2017,29/4/2017,Second Class,15850,10001982
335,335,1/9/2016,4/9/2016,Second Class,13615,10001922
336,336,1/9/2016,4/9/2016,Second Class,13615,10001449
337,337,1/9/2016,4/9/2016,Second Class,13615,10004140
338,338,12/7/2015,17/7/2015,Standard Class,10420,10003314
339,339,12/7/2015,17/7/2015,Standard Class,10420,10004575
340,340,22/6/2016,26/6/2016,Second Class,16645,10000490
341,341,13/4/2015,17/4/2015,Second Class,15895,10000122
342,342,13/4/2015,17/4/2015,Second Class,15895,10003656
343,343,13/4/2015,17/4/2015,Second Class,15895,10002780
344,344,13/4/2015,17/4/2015,Second Class,15895,10000702
345,345,20/12/2016,24/12/2016,Standard Class,12130,10000107
346,346,15/6/2018,19/6/2018,Standard Class,12550,10002293
347,347,8/7/2018,12/7/2018,Standard Class,20995,10004027
348,348,8/7/2018,12/7/2018,Standard Class,20995,10000249
349,349,8/7/2018,12/7/2018,Standard Class,20995,10001374
350,350,1/9/2017,3/9/2017,First Class,10060,10000290
351,351,1/9/2017,3/9/2017,First Class,10060,10001970
352,352,1/9/2017,3/9/2017,First Class,10060,10002160
353,353,1/9/2017,3/9/2017,First Class,10060,10004995
354,354,8/4/2017,13/4/2017,Standard Class,15505,10002268
355,355,8/4/2017,13/4/2017,Standard Class,15505,10001137
356,356,8/4/2017,13/4/2017,Standard Class,15505,10002399
357,357,8/4/2017,13/4/2017,Standard Class,15505,10002713
358,358,23/4/2017,28/4/2017,Standard Class,14890,10002666
359,359,8/3/2018,11/3/2018,First Class,21745,10001124
360,360,8/3/2018,11/3/2018,First Class,21745,10001158
361,361,25/9/2018,1/10/2018,Standard Class,16435,10001158
362,362,25/9/2018,1/10/2018,Standard Class,16435,10000785
363,363,25/9/2018,1/10/2018,Standard Class,16435,10003732
364,364,25/9/2018,1/10/2018,Standard Class,16435,10000023
365,365,24/9/2015,29/9/2015,Standard Class,16060,10001713
366,366,21/10/2017,21/10/2017,Same Day,17905,10002412
367,367,21/10/2017,21/10/2017,Same Day,17905,10001225
368,368,21/10/2017,21/10/2017,Same Day,17905,10002406
369,369,21/10/2017,21/10/2017,Same Day,17905,10002545
370,370,29/5/2018,4/6/2018,Standard Class,14755,10002036
371,371,29/5/2018,4/6/2018,Standard Class,14755,10002205
372,372,23/7/2015,27/7/2015,Standard Class,10900,10001982
373,373,23/7/2015,27/7/2015,Standard Class,10900,10003911
374,374,23/7/2015,27/7/2015,Standard Class,10900,10000658
375,375,23/7/2015,27/7/2015,Standard Class,10900,10002076
376,376,28/9/2017,1/10/2017,First Class,18280,10003039
377,377,27/8/2018,1/9/2018,Standard Class,10405,10004915
378,378,28/4/2016,5/5/2016,Standard Class,19915,10000696
379,379,28/4/2016,5/5/2016,Standard Class,19915,10003327
380,380,28/4/2016,5/5/2016,Standard Class,19915,10000309
381,381,28/10/2017,29/10/2017,First Class,10285,10004734
382,382,28/10/2017,29/10/2017,First Class,10285,10002225
383,383,26/6/2016,29/6/2016,Second Class,16780,10004708
384,384,27/11/2016,2/12/2016,Standard Class,13435,10000617
385,385,27/11/2016,2/12/2016,Standard Class,13435,10002335
386,386,3/12/2016,7/12/2016,Standard Class,13225,10001681
387,387,3/12/2016,7/12/2016,Standard Class,13225,10001935
388,388,24/11/2015,26/11/2015,First Class,18430,10004757
389,389,11/12/2018,15/12/2018,Standard Class,18190,10000050
390,390,11/12/2018,15/12/2018,Standard Class,18190,10001998
391,391,21/9/2015,23/9/2015,Second Class,15115,10003012
392,392,21/9/2015,23/9/2015,Second Class,15115,10002313
393,393,7/6/2015,10/6/2015,Second Class,11095,10003982
394,394,30/6/2018,5/7/2018,Standard Class,21730,10004492
395,395,17/10/2018,19/10/2018,Second Class,20140,10000798
396,396,17/10/2018,19/10/2018,Second Class,20140,10002552
397,397,31/10/2016,4/11/2016,Standard Class,14815,10002573
398,398,8/9/2017,10/9/2017,Second Class,10675,10001580
399,399,8/9/2017,10/9/2017,Second Class,10675,10004834
400,400,8/9/2017,10/9/2017,Second Class,10675,10000934
401,401,8/9/2017,10/9/2017,Second Class,10675,10000158
402,402,24/12/2015,26/12/2015,First Class,17185,10001947
403,403,16/4/2015,20/4/2015,Standard Class,20650,10003478
404,404,24/12/2018,29/12/2018,Standard Class,19840,10004249
405,405,8/12/2018,12/12/2018,Standard Class,16510,10000158
406,406,8/12/2018,12/12/2018,Standard Class,16510,10004115
407,407,8/12/2018,12/12/2018,Standard Class,16510,10003724
408,408,8/12/2018,12/12/2018,Standard Class,16510,10002041
409,409,8/12/2018,12/12/2018,Standard Class,16510,10002893
410,410,8/12/2018,12/12/2018,Standard Class,16510,10003766
411,411,8/12/2018,12/12/2018,Standard Class,16510,10001970
412,412,8/12/2018,12/12/2018,Standard Class,16510,10001972
413,413,8/12/2018,12/12/2018,Standard Class,16510,10003956
414,414,3/11/2018,7/11/2018,Standard Class,16675,10000157
415,415,3/11/2018,7/11/2018,Standard Class,16675,10001891
416,416,24/6/2018,28/6/2018,Standard Class,12010,10004344
417,417,14/4/2017,18/4/2017,Standard Class,19150,10004886
418,418,6/11/2018,10/11/2018,Standard Class,21745,10003845
419,419,4/3/2018,9/3/2018,Standard Class,20860,10001573
420,420,4/3/2018,9/3/2018,Standard Class,20860,10000483
421,421,22/6/2015,25/6/2015,First Class,15745,10004114
422,422,19/10/2018,23/10/2018,Standard Class,17965,10004712
423,423,19/10/2018,23/10/2018,Standard Class,17965,10000918
424,424,21/8/2018,23/8/2018,Second Class,18385,10000015
425,425,23/11/2018,26/11/2018,Second Class,15265,10003347
426,426,23/11/2018,26/11/2018,Second Class,15265,10001543
427,427,12/9/2015,13/9/2015,First Class,20485,10000029
428,428,1/10/2018,8/10/2018,Standard Class,16630,10000369
429,429,15/4/2017,21/4/2017,Standard Class,19795,10004584
430,430,15/4/2017,21/4/2017,Standard Class,19795,10004659
431,431,15/4/2017,21/4/2017,Standard Class,19795,10000617
432,432,6/6/2017,7/6/2017,First Class,13060,10003306
433,433,19/12/2015,25/12/2015,Standard Class,18160,10000773
434,434,19/12/2015,25/12/2015,Standard Class,18160,10002600
435,435,12/6/2017,14/6/2017,Second Class,19180,10002937
436,436,12/6/2017,14/6/2017,Second Class,19180,10001970
437,437,15/9/2018,19/9/2018,Standard Class,11545,10002230
438,438,20/1/2018,23/1/2018,Second Class,12805,10003396
439,439,5/9/2017,7/9/2017,Second Class,19075,10000246
440,440,5/9/2017,7/9/2017,Second Class,19075,10000060
441,441,5/9/2017,7/9/2017,Second Class,19075,10003058
442,442,5/9/2017,7/9/2017,Second Class,19075,10002222
443,443,5/9/2017,7/9/2017,Second Class,19075,10002372
444,444,5/9/2017,7/9/2017,Second Class,19075,10001317
445,445,20/3/2018,25/3/2018,Second Class,21595,10000206
446,446,1/4/2017,3/4/2017,Second Class,19360,10000588
447,447,1/4/2017,3/4/2017,Second Class,19360,10001469
448,448,1/4/2017,3/4/2017,Second Class,19360,10001953
449,449,1/4/2017,3/4/2017,Second Class,19360,10003156
450,450,1/4/2017,3/4/2017,Second Class,19360,10004974
451,451,1/4/2017,3/4/2017,Second Class,19360,10002365
452,452,20/10/2018,24/10/2018,Standard Class,13705,10001539
453,453,20/10/2018,24/10/2018,Standard Class,13705,10000142
454,454,13/12/2017,17/12/2017,Standard Class,16630,10001772
455,455,12/2/2015,18/2/2015,Standard Class,20095,10000225
456,456,26/9/2017,1/10/2017,Standard Class,18385,10002331
457,457,26/9/2017,1/10/2017,Standard Class,18385,10001415
